@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
1157,'2018/02/18 22:45:15:708',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1158,'2018/02/18 22:45:15:757',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1159,'2018/02/18 22:45:15:808',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1160,'2018/02/18 22:45:15:858',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1161,'2018/02/18 22:45:15:908',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1162,'2018/02/18 22:45:15:957',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1163,'2018/02/18 22:45:16:008',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1164,'2018/02/18 22:45:16:058',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1165,'2018/02/18 22:45:16:107',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1166,'2018/02/18 22:45:16:159',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1167,'2018/02/18 22:45:16:208',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1168,'2018/02/18 22:45:16:258',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1169,'2018/02/18 22:45:16:308',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1170,'2018/02/18 22:45:16:358',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1171,'2018/02/18 22:45:16:408',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1172,'2018/02/18 22:45:16:459',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1173,'2018/02/18 22:45:16:510',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1174,'2018/02/18 22:45:16:558',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1175,'2018/02/18 22:45:16:607',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1176,'2018/02/18 22:45:16:658',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1177,'2018/02/18 22:45:16:707',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1178,'2018/02/18 22:45:16:758',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1179,'2018/02/18 22:45:16:808',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1180,'2018/02/18 22:45:16:858',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1181,'2018/02/18 22:45:16:907',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1182,'2018/02/18 22:45:16:958',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1183,'2018/02/18 22:45:17:008',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1184,'2018/02/18 22:45:17:058',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1185,'2018/02/18 22:45:17:108',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1186,'2018/02/18 22:45:17:158',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1187,'2018/02/18 22:45:17:208',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1188,'2018/02/18 22:45:17:258',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1189,'2018/02/18 22:45:17:307',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1190,'2018/02/18 22:45:17:358',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1191,'2018/02/18 22:45:17:408',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1192,'2018/02/18 22:45:17:459',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1193,'2018/02/18 22:45:17:508',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1194,'2018/02/18 22:45:17:558',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1195,'2018/02/18 22:45:17:609',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1196,'2018/02/18 22:45:17:658',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1197,'2018/02/18 22:45:17:709',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1198,'2018/02/18 22:45:17:758',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1199,'2018/02/18 22:45:17:809',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1200,'2018/02/18 22:45:17:859',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1201,'2018/02/18 22:45:17:909',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1202,'2018/02/18 22:45:17:959',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1203,'2018/02/18 22:45:18:009',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1204,'2018/02/18 22:45:18:058',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1205,'2018/02/18 22:45:18:110',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1206,'2018/02/18 22:45:18:159',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1207,'2018/02/18 22:45:18:208',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1208,'2018/02/18 22:45:18:259',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1209,'2018/02/18 22:45:18:309',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1210,'2018/02/18 22:45:18:359',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1211,'2018/02/18 22:45:18:409',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1212,'2018/02/18 22:45:18:460',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1213,'2018/02/18 22:45:18:509',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1214,'2018/02/18 22:45:18:558',25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1215,'2018/02/18 22:45:19:910',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1216,'2018/02/18 22:45:19:960',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1217,'2018/02/18 22:45:20:010',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1218,'2018/02/18 22:45:20:060',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1219,'2018/02/18 22:45:20:109',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1220,'2018/02/18 22:45:20:160',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1221,'2018/02/18 22:45:20:210',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1222,'2018/02/18 22:45:20:260',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1223,'2018/02/18 22:45:20:310',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1224,'2018/02/18 22:45:20:360',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1225,'2018/02/18 22:45:20:411',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1226,'2018/02/18 22:45:20:460',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1227,'2018/02/18 22:45:20:510',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1228,'2018/02/18 22:45:20:561',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1229,'2018/02/18 22:45:20:610',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1230,'2018/02/18 22:45:20:660',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1231,'2018/02/18 22:45:20:711',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1232,'2018/02/18 22:45:20:761',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1233,'2018/02/18 22:45:20:812',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1234,'2018/02/18 22:45:20:860',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1235,'2018/02/18 22:45:20:909',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1236,'2018/02/18 22:45:20:961',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1237,'2018/02/18 22:45:21:010',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1238,'2018/02/18 22:45:21:060',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1239,'2018/02/18 22:45:21:110',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1240,'2018/02/18 22:45:21:160',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1241,'2018/02/18 22:45:21:210',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1242,'2018/02/18 22:45:21:260',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1243,'2018/02/18 22:45:21:311',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1244,'2018/02/18 22:45:21:362',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1245,'2018/02/18 22:45:21:411',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1246,'2018/02/18 22:45:21:461',26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.88,76.054468
1247,'2018/02/18 22:45:26:563',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1248,'2018/02/18 22:45:26:613',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1249,'2018/02/18 22:45:26:664',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1250,'2018/02/18 22:45:26:713',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1251,'2018/02/18 22:45:26:763',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1252,'2018/02/18 22:45:26:813',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1253,'2018/02/18 22:45:26:863',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1254,'2018/02/18 22:45:26:916',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1255,'2018/02/18 22:45:26:963',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1256,'2018/02/18 22:45:27:014',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1257,'2018/02/18 22:45:27:063',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1258,'2018/02/18 22:45:27:114',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1259,'2018/02/18 22:45:27:163',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1260,'2018/02/18 22:45:27:213',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1261,'2018/02/18 22:45:27:263',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1262,'2018/02/18 22:45:27:314',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1263,'2018/02/18 22:45:27:362',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1264,'2018/02/18 22:45:27:414',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1265,'2018/02/18 22:45:27:464',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1266,'2018/02/18 22:45:27:513',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1267,'2018/02/18 22:45:27:564',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1268,'2018/02/18 22:45:27:613',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1269,'2018/02/18 22:45:27:663',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1270,'2018/02/18 22:45:27:714',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1271,'2018/02/18 22:45:27:763',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1272,'2018/02/18 22:45:27:813',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1273,'2018/02/18 22:45:27:863',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1274,'2018/02/18 22:45:27:913',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1275,'2018/02/18 22:45:27:963',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
1276,'2018/02/18 22:45:28:014',27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.28,76.054468
